Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AACS	2.53693132861738	2.09287195739642	2.20761551935787	1.5420614536591297	2.65506906769422	2.5412467588700096	2.11175803412761	2.1660730916945004	2.28037966271385	2.82103632892031	1.2072323690470501	2.45308978880096	2.53063139239975	-0.420637186644244	3.06814200456303	3.10476987385091	2.65620529978769	2.3098193226896604	2.4960964522712996	2.9452813445422406	2.3595620538911297	2.6966911182753397	2.9479183043284203	2.62723225312087	2.7054376670076503	2.56602718272294	2.6930275381637596	2.6667625424016204	2.82106338520585	2.26252253882793	2.20663094349922	3.1292144581149306	2.66871683339234	2.9027095437455297	3.08067507678886	2.6880523775025695	2.68019707328079	2.43569811137593	1.9349018043580202	2.7041214859597003	2.74548354400887	2.4135996247767904	2.12163584379056
AAMP	6.49455499863341	6.11826331696565	6.578089280914989	6.00109933953645	6.73700747779313	6.629947411494469	5.93738500841509	6.0033145723358095	6.33890941795624	7.00989720396867	5.9392683397075	6.59235584479918	6.36152256869771	4.92138181252301	6.82616482033117	6.681645467613441	6.782834530107991	6.272161638355009	6.60091660907241	6.826076346804559	6.60174479073556	6.8928657602087195	6.7654280715600095	6.31346997614025	6.6444965191225895	6.627777562187821	6.90148882070935	6.47464415651056	6.73081067122566	6.06328308350878	6.38308833796978	6.537704717601099	6.56369483174579	6.4085353173056605	6.561230292084611	6.46305327872009	6.62730360466678	6.59941140841537	5.94126204834473	6.59536337857952	6.665138790552451	6.7411528915448296	6.239595834909119
ABCB11	-0.7162747873639721	-0.574299914626322	-0.751251004747731	-0.54104111391454	-1.0	-0.355603341968315	-0.81919660262359	-0.939577898365116	-0.8735519103535841	-0.055271636691975996	-1.0	-0.315860858427523	-0.326809938827746	-1.0	-0.16440454761872197	-0.033470966494405	0.851874402028486	1.02942613174904	-0.9070131515941949	0.49010735014245205	-0.90486728567531	-0.479445562648781	-0.775591970862549	-0.928615001811379	-0.688371602887231	-1.0	0.336155617375777	-0.42747737714410705	-0.154662404209505	-0.790599216284955	-0.896771367615209	0.5788628079057371	-0.9640855248537908	-0.335931631031987	-0.144350183515134	-0.566192302833859	-0.9559044565833241	-0.959083452727392	-0.590209210502187	-0.7725795668113421	0.33669953457841195	-0.46461137800751595	-0.9583044922026959
ABCC13	0.8860199727310071	0.319359900409159	-0.7131360896975141	1.5494711401446999	0.798894328168249	0.9442508640367501	0.867452487952405	1.38036141078487	2.10900563899249	-0.21590044533587602	2.0463860572295998	0.41606466693655203	0.405674487404087	1.16509077576273	-0.176898741090313	0.804259010300148	1.65701225144902	1.25586047092009	1.8821340807284999	1.5048985090687501	1.4912412304309899	0.48618914772922905	-0.266752414753084	1.27736405584927	-0.513342160243676	1.4716769013439301	1.95056431880467	1.18867205283718	0.905355322370252	1.20155329290256	1.31999870150743	1.6121067298571101	1.4287528344023601	0.8508509167264939	-0.298627917447128	1.1023413619406999	0.547942495150529	1.9968055095241397	-0.18423421151243202	0.360664012755565	0.32825050822982693	0.831376688250952	2.00253333171668
ABCC3	5.03638711386033	4.81711988385751	4.06971819321955	5.86097678228736	4.53071590068729	5.1105829017256905	4.712542774744519	5.138800617768901	4.96804185401073	5.1412982927187	5.715146476415969	5.355598693414731	5.07749163214943	3.71584384682496	5.62649503152995	5.712766141157711	5.930078538002991	5.63482706893759	4.835237488346451	5.9531877472833	5.24975946833315	4.772506457781049	4.914265404634389	5.70506832413826	5.047841401276809	4.249652992277509	5.81571333227152	5.60146751686565	5.67532470842633	5.04858555742887	4.213042845094741	5.82903797703772	4.90679012134476	5.70661658551208	5.2395464501555296	5.38424982137428	5.1653584859813	4.1105557049022	4.61630500518321	4.65485297335606	4.78906554951379	5.5180061716790405	5.6301044899161194
ABCD3	4.91354722328687	4.20532255474916	3.27194620581836	4.72277447246973	5.61734491864608	5.00166029746684	4.497838517873941	4.8825561094848	5.1570486787462	4.62450648347443	4.7412147300252405	4.7114377071657305	4.713252792200589	3.1107411702906202	4.80223650729803	5.383369013889871	5.8175012521482	4.58489516345673	5.176776046064179	5.01243409722752	5.22333058121568	4.5155256927619805	4.90555616188004	5.51428314750944	4.25781222068788	5.323397270382951	5.91492126899461	5.36786499321824	4.9132174555387005	4.7587039750697695	5.228696707991889	5.35606982907616	5.23607399527436	5.3056738053069	4.672236271478781	5.01702857773884	5.20489270692007	5.90247707518157	4.34021917843185	4.99870361522053	5.0723227000453095	5.21949247954878	5.6568042494404995
ABHD11	5.16192478716931	4.60095582692532	4.29655607766958	4.93202331280264	4.71896583668482	5.887347274251799	4.72115145550897	4.872397628419741	4.55214090646041	5.76948805224766	4.7338606977560005	4.87991694169633	5.15434302497584	3.75130943245431	5.599258871765279	5.47894328512326	5.9883486980702605	5.18390677993674	4.934217298211809	5.5028520423663405	5.03916184309353	5.26880501722432	5.56814130564515	4.84455454114957	5.023347371558089	4.5934458646315806	5.86734370170603	5.52012391967857	5.53204159786556	4.49987855650393	4.840517916110031	5.612317075675991	5.01805088402592	5.527865111971309	5.11601433929491	5.38768226165382	5.15090664950228	4.84513701657846	3.53132611071317	5.404763169731719	5.44267001578195	5.2384065474795705	4.6484149097066
ABHD14B	5.089169314790481	5.324569864856731	5.579068645484389	5.424448948951559	6.26436130015791	5.4196759230606295	5.57005742123685	5.753792536360621	6.0376927527624495	5.6030720192295504	5.639448097191969	5.12384426516934	5.71341113827806	4.615183299334389	5.26726968648513	5.5956542788534405	6.14595432552199	4.930626357079451	6.36164187379682	5.40422315084761	5.87960395293247	5.82139879636598	5.609635390709309	5.92333371808688	5.462430770263821	6.3367809836735205	5.95229023792783	5.569470943663269	5.893108298940799	6.1384986544760896	6.33446867802179	5.58833423011006	6.594370206469329	5.26369699135349	5.4465749716288085	5.928406513356349	5.829796277961741	6.56721115837522	4.85719504772236	5.43128292524198	5.30391504947111	5.7545772769524	6.57194000188255
ABHD3	6.041429494982751	5.48046053473876	4.43283620084513	6.018484574583911	5.78304834117254	6.462441648435901	5.6101372163333	5.366248643735441	5.791627899169401	5.52511607936572	5.673762685213389	5.878299045361691	5.991170086019849	3.8905734140686805	5.57476026668303	6.32928528100541	6.80180904491175	6.369099367785441	5.8436559564762	6.1348883866846595	5.73022146149386	5.616684281662309	6.006260548043881	6.141010898769291	5.35885471132712	5.4008007866891905	6.38015177756425	6.427389320692621	6.031907503483191	5.6861877289958	5.93963474946613	6.8519486869458	5.312593091118201	6.384612985318349	5.90906285437487	6.37519730203746	5.458023932604611	5.537161039171719	5.36804595202982	5.74572971391536	6.2289109294514	5.23393505163249	5.91657035037485
ABR	5.0282952910578205	4.58430442085457	4.791038882543309	5.07035168075119	5.339067071558031	5.253157487733599	4.83581533859455	4.7364273523424805	5.22665093653595	5.34414490605509	4.579067656313019	5.133237831934809	4.857938310985519	3.41056692980924	5.3018694135184505	5.5305624061497705	5.684748360688849	5.34653030277181	4.99371839057003	5.06255867918739	5.02478126556035	5.12681988385804	5.490595999380339	5.2613294633873	5.16339789078845	4.30861271074314	5.42317217250961	5.26828155955694	5.342130799558849	4.80911823216393	4.71962418217077	5.12696233675963	5.42900860620381	5.3393251237398305	5.34726227895179	5.391285576038599	5.26147524680943	5.292421384844429	4.45106625718363	4.83618616068196	5.105038529525321	5.5089908251591595	5.41133071019708
