Name	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ESRRA	9.8029957077441	9.95511695629795	10.1080617740649	10.2129162279982	9.78847948450178	9.95556238137424	9.66743632306835	10.0480379638844	9.97092071843427	10.6697481851625	10.2291352143214	10.139746340943	10.645091734614901	10.182324028377401	9.5272572089991	10.5957816188927	10.5022423034469	9.92795641123716	10.437387108571599	10.407889851301901	10.417455568338198	10.9319901355131	10.378100473533
TTLL12	11.0562664300731	11.0158878352859	11.0517859558757	11.3936432748371	10.287495677405	11.2190835653717	10.330922757533	10.9358468433485	10.858610242920198	11.786924258013102	11.0984560670311	11.284647485037901	11.4888284144782	10.974275147881901	10.8263958371545	11.2068846902794	11.538132911805198	10.9014685149459	11.1408916967133	10.6952948888688	11.4047850425836	11.490515384068301	10.8920804646775
WFDC2	7.7480413049694405	7.28382158373049	6.87729311640024	7.08644337621252	6.0438660181880905	7.82840847243464	7.526669253907841	7.26312303117413	6.950844821195941	7.09049981465125	7.80196969177804	7.05324364986183	7.5249610679598495	6.2203464405173206	8.03118022513978	7.98294571976315	7.18872571598833	7.986251154755269	8.63697403303998	7.41759553198274	7.84113681895957	7.10089392946908	6.8972226580466
SPATA17	3.31188742450906	2.9231501314904795	3.03033272326231	3.55106462033029	3.23876072578559	4.4368234559571205	2.6859316290095494	3.1798998567371295	2.8276743414656003	2.40166486806238	2.58101252962645	2.7555787614871097	1.96181221822404	2.60696756721782	4.16662025287147	2.1733746857437	2.23177030851338	3.1265974358695203	2.1052610304858796	2.7786667590993197	3.4862619316144596	3.62654788960899	2.93805859422825
SCIN	9.21880207053659	9.067705311894011	10.590707421047199	10.431101716631199	8.88638929224818	9.218803547494788	5.79245808812793	9.835546888189882	9.575597872383119	11.9624881413132	10.231514033682501	9.082212563787769	10.2685467114198	10.612775378731302	9.47857214579759	8.8183296917446	10.6933272154822	9.20979052451375	8.43700858598856	10.180594998076	10.3354290657471	10.3327174661808	10.870104952520098
SCIN	8.218363833843531	7.136907592226191	9.45938921630524	8.47542421531606	7.74604382843346	8.18193127082505	2.1110737243278797	8.49407379791755	7.771201198816629	10.1182193475045	8.70781871600675	8.10043007531467	8.72334295337245	9.13619667567383	7.769829065142191	7.13499198193892	8.94889715820991	7.186831807415531	7.47194604988265	8.77628432355438	8.79529991550369	8.756305675436149	9.47496237192057
C4orf33	9.52861602344067	8.59644377485586	9.75297684733085	9.017154518013509	8.173183487771679	8.953664509453269	7.50083263990693	8.7407559940385	8.64010015686094	9.56532757444543	8.7806139556853	9.837316482399869	9.66675342888606	9.21501257226006	9.01312243830644	9.1355688595178	9.45807951401366	8.283230536002831	8.35966887254609	9.26022009091141	8.915600147013901	8.2873254499482	9.177481888974679
C4orf33	-0.48925677949377594	1.82163471133829	4.50321444632379	4.6751936206266205	3.50845033082698	4.02552992876828	5.19419924598309	4.10394019971931	4.46604692383804	4.338150397939759	1.45017556123415	0.9470504256696161	4.467574185388849	3.5773531714262097	1.6808311241834	4.62787982716282	5.032744444929049	4.36278259074551	3.37532224138112	4.3757150801373195	5.30582256057175	5.294303284299639	5.44264640274394
C4orf33	6.31928760389864	2.48721517540306	4.703823140089081	5.4474133299791205	6.35906183915784	3.3994896822846004	3.7697918353013997	2.29195475966068	2.6883979216353	5.762498021081621	2.33518223427338	2.14074495979083	5.60698639344948	2.26247976332526	4.163300026001069	4.60330284833258	4.47675099874112	2.21749658196907	3.03272046930009	2.79492048740125	2.4793873448667	4.0259514520237	3.19222052500663
ABHD11	3.36911466605893	2.56682367623491	5.65652154027121	6.3159860556503205	3.73324434448298	3.38310068774979	5.58991215240402	6.086690856544481	1.5284187901884299	6.749664251854511	6.610376508933151	5.6046843091566805	6.9603888469128	6.4710907029100895	7.07675819801964	6.49155453977577	7.09038334558831	4.75526688107308	6.71478716857144	6.74580960329904	6.867361418903821	5.14227238834084	6.63456646450267
