Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ESRRA	8.65320336203398	8.973266860993288	8.00450139223494	8.619119511453219	9.571942209897731	8.49625461006128	8.49065034924802	8.27798474729977	8.803162444415891	8.508983184855419	8.51451681645401	7.9289624408359805	8.88874324889826	8.24840200614344	8.65427799526124	8.6667565918848	8.91378699987453	9.52806334829195	9.17717034634152	8.90899299325053	9.23816586275513	8.677367292136049	9.286095655569131	9.036997774267348
TTLL12	9.47553079102774	9.10774017024573	8.59581691855585	9.41214639654068	10.4668921770394	9.3482855418512	9.30309576199305	9.42101285577923	9.55113145277411	9.72092824314849	9.08931805695308	8.904183003245029	9.857825523923061	9.15759957436899	9.80542144617176	9.047941843747509	9.49325503512067	10.0522963312364	9.91184135555956	9.49365533896366	9.6487170873793	9.652486494918161	9.3235051802769	9.99985910493266
WFDC2	4.34340782229781	2.4594316186373	5.7279204545632005	4.59693514238723	1.43295940727611	3.0179219079972595	4.6724253419715	4.47248777146274	4.28540221886225	4.930737337562889	3.74416109557041	1.20163386116965	3.9164766444377204	4.6264391366973205	4.590961241342599	1.92599941855622	4.37851162325373	5.69766263347052	4.53605290024021	4.2779847472997705	5.48864353985378	5.52042224852645	5.02680005934372	1.92599941855622
SPATA17	5.21334728173344	1.48542682717024	1.48542682717024	2.20163386116965	3.6553518286125497	4.41278152533848	4.25550073314839	4.0	3.9354597478052904	4.6028844087184195	4.93545974780529	0.584962500721156	2.63226821549951	3.7114949066500897	1.32192809488736	1.84799690655495	4.30742852519225	2.86789646399265	0.485426827170242	3.4724877714627405	1.53605290024021	1.13750352374994	3.6553518286125497	2.4329594072761096
SCIN	8.70632333327543	8.146186791490742	7.23840473932508	8.41700858678878	8.77412814429358	8.50024436658882	9.439623137557119	8.700439718141089	8.74011804283313	9.031494448727349	7.621319301014191	7.013462259806559	8.179411523174041	8.01792190799726	9.08135028058369	7.75622271284729	9.163398094353159	8.46270675067016	8.8999610665839	9.396176618234401	9.510170751151769	8.04821438460804	9.0698525111258	8.64853734589263
SCIN	7.57893871309339	7.1053847492476	5.507794640198701	6.746850183098051	7.35049724708413	7.26021388677142	7.955940451289481	7.02125762056052	7.6639138421159805	7.67171796512923	6.77214959078454	5.5698556083309505	6.86418614465428	6.5999128421871305	7.9224357402331504	6.209453365628951	8.02458563827827	7.12825215227739	7.4667902378030995	7.85174904141606	7.69835740595729	7.0725345997229505	7.51412226017071	7.3201235980406105
C4orf33	8.66782118057477	8.13955135239879	6.91288933622996	7.683696454306519	7.928370323018969	7.01457846492289	7.4446008137115	8.09750545581802	8.195741293246451	7.60436789989375	7.96520709119934	6.1699250014423095	7.6402449362223495	8.51056638944875	8.7007864781574	7.52669484554198	7.80799883862303	7.759555343206309	7.580447019598661	8.0703893278914	7.7924649599799505	7.399171093819821	8.51056638944875	8.84643063233652
C4orf33	2.4329594072761096	-0.736965594166206	-1.73696559416621	-1.32192809488736	3.49825086752783	3.0874628412503395	2.58496250072116	3.86789646399266	0.137503523749935	3.76553474636298	-0.321928094887362	3.5360529002402097	1.88752527074159	-1.73696559416621	0.584962500721156	-0.514573172829758	1.92599941855622	4.06177619758669	-1.0	2.29278174922785	3.4462562298895603	1.13750352374994	-2.3219280948873595	-1.32192809488736
C4orf33	3.9726926540042595	3.64385618977473	1.26303440583379	3.43295940727611	1.9634741239748899	-0.321928094887362	2.56071495447448	0.263034405833794	3.54843662469604	3.39231742277876	0.0	5.104336659814741	2.6553518286125497	1.13750352374994	2.37851162325373	2.96347412397489	4.05311133645956	4.53605290024021	1.76553474636298	3.41953889151378	4.0089887832272595	3.2172307162206697	4.60880924267552	4.51096191927738
ABHD11	5.2364926183813	4.57288966842058	4.13750352374994	6.187846909439571	5.15785216914174	4.69488019279919	2.60880924267552	5.1333991254172	5.42961596420174	5.2667865406949	4.05311133645956	4.76022094646651	4.452858964713809	4.41953889151378	2.4329594072761096	4.74416109557041	4.36457243229586	3.0	4.786596361890809	4.51096191927738	5.38887833881199	5.29278174922785	5.0746766862945005	4.37155886261196
