Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ESRRA	8.561096973552809	8.35049724708413	8.97412774319142	9.300810122983778	9.38694024532431	9.32237886665822	8.69801006153743	9.25479243019288	8.642773762533091	8.480184323698701	9.39510565460353	9.4189067312579	8.326429487122299	9.18883607303053	9.193278935521391	9.01847839596593	8.377210530388549	9.0331476517817	9.42101285577923	8.65320336203398	8.88874324889826	9.17717034634152	9.036997774267348	8.24840200614344	8.00450139223494	8.51451681645401	9.52806334829195	8.91378699987453	8.27798474729977	9.571942209897731	7.9289624408359805	8.90899299325053	8.65427799526124	8.973266860993288	9.23816586275513	9.286095655569131	8.49625461006128	8.508983184855419	8.803162444415891	8.619119511453219	8.6667565918848	8.677367292136049	8.49065034924802
TTLL12	9.29324171895624	9.050120730385409	9.52591226074335	9.87590290312484	10.165535141377902	9.606775324305989	8.55956828992275	9.89132804336058	9.495455333009868	9.30697305714083	9.890264277021108	10.0099685422061	8.947198584262061	9.73876783680019	9.4641372862766	9.56281480869233	9.2350568627071	9.538382960032118	9.44956137461324	9.47553079102774	9.857825523923061	9.91184135555956	9.99985910493266	9.15759957436899	8.59581691855585	9.08931805695308	10.0522963312364	9.49325503512067	9.42101285577923	10.4668921770394	8.904183003245029	9.49365533896366	9.80542144617176	9.10774017024573	9.6487170873793	9.3235051802769	9.3482855418512	9.72092824314849	9.55113145277411	9.41214639654068	9.047941843747509	9.652486494918161	9.30309576199305
WFDC2	4.0	4.53605290024021	3.2927817492278497	2.58496250072116	3.23266075679028	4.54225804976692	4.877744249949	5.12101540096137	4.51727569320958	3.83794324189103	1.67807190511264	0.765534746362977	3.9541963103868802	1.88752527074159	3.1043366598147406	5.58195375084882	1.13750352374994	5.300123724569009	5.02236781302845	4.34340782229781	3.9164766444377204	4.53605290024021	1.92599941855622	4.6264391366973205	5.7279204545632005	3.74416109557041	5.69766263347052	4.37851162325373	4.47248777146274	1.43295940727611	1.20163386116965	4.2779847472997705	4.590961241342599	2.4594316186373	5.48864353985378	5.02680005934372	3.0179219079972595	4.930737337562889	4.28540221886225	4.59693514238723	1.92599941855622	5.52042224852645	4.6724253419715
SPATA17	2.56071495447448	1.8073549220576	4.0	1.76553474636298	2.48542682717024	4.32192809488736	4.4262647547021	0.0	3.6780719051126405	1.48542682717024	4.68929916053589	1.0703893278914	3.2927817492278497	4.16992500144231	0.6780719051126379	0.6780719051126379	0.765534746362977	3.77610398807316	2.03562390973072	5.21334728173344	2.63226821549951	0.485426827170242	2.4329594072761096	3.7114949066500897	1.48542682717024	4.93545974780529	2.86789646399265	4.30742852519225	4.0	3.6553518286125497	0.584962500721156	3.4724877714627405	1.32192809488736	1.48542682717024	1.53605290024021	3.6553518286125497	4.41278152533848	4.6028844087184195	3.9354597478052904	2.20163386116965	1.84799690655495	1.13750352374994	4.25550073314839
SCIN	7.33806779754262	8.72383156649532	8.932214751968392	9.33762190199251	9.784961950204858	8.7176764230664	8.68088692071969	9.51924309436118	9.17941152317403	8.51806297565252	8.58157721553652	9.25620868852739	7.862327400517991	8.49345520092618	9.21504757072328	9.83225711437793	8.16992500144231	8.510170751151769	9.14593214582052	8.70632333327543	8.179411523174041	8.8999610665839	8.64853734589263	8.01792190799726	7.23840473932508	7.621319301014191	8.46270675067016	9.163398094353159	8.700439718141089	8.77412814429358	7.013462259806559	9.396176618234401	9.08135028058369	8.146186791490742	9.510170751151769	9.0698525111258	8.50024436658882	9.031494448727349	8.74011804283313	8.41700858678878	7.75622271284729	8.04821438460804	9.439623137557119
SCIN	6.34872815423108	8.140574177709901	7.50462039240355	7.66035250967092	8.24935052362723	6.92124588858559	7.367196310025901	7.84611717333673	7.75020450927987	6.33806779754262	6.76420813013995	7.8073549220576	6.33270793364061	7.304693557471009	7.69766263347052	8.05961485629722	6.82654848729092	6.62789861587175	7.746850183098051	7.57893871309339	6.86418614465428	7.4667902378030995	7.3201235980406105	6.5999128421871305	5.507794640198701	6.77214959078454	7.12825215227739	8.02458563827827	7.02125762056052	7.35049724708413	5.5698556083309505	7.85174904141606	7.9224357402331504	7.1053847492476	7.69835740595729	7.51412226017071	7.26021388677142	7.67171796512923	7.6639138421159805	6.746850183098051	6.209453365628951	7.0725345997229505	7.955940451289481
C4orf33	7.016808287686549	7.742814669862891	8.84014847548695	8.10800164646591	8.3741700760685	7.71355835640479	8.573647187493322	8.29599846191139	7.8163437052848606	6.99095486039699	8.005624549193879	7.82718389581953	8.0757465380609	8.95274124718649	8.403012023575	7.48220292629596	8.91378699987453	7.83035674741922	8.75321674917896	8.66782118057477	7.6402449362223495	7.580447019598661	8.84643063233652	8.51056638944875	6.91288933622996	7.96520709119934	7.759555343206309	7.80799883862303	8.09750545581802	7.928370323018969	6.1699250014423095	8.0703893278914	8.7007864781574	8.13955135239879	7.7924649599799505	8.51056638944875	7.01457846492289	7.60436789989375	8.195741293246451	7.683696454306519	7.52669484554198	7.399171093819821	7.4446008137115
C4orf33	3.8278190246173196	1.37851162325373	3.13750352374994	3.57288966842058	-0.2	3.41953889151378	0.0	3.78659636189081	-0.2	-0.3	4.54843662469604	-0.6	1.37851162325373	-0.8	-0.4	3.03562390973072	2.90689059560852	2.9448584458075397	-0.4	2.4329594072761096	1.88752527074159	-0.5	-0.6	-0.7	-0.7	-0.2	4.06177619758669	1.92599941855622	3.86789646399266	3.49825086752783	3.5360529002402097	2.29278174922785	0.584962500721156	-0.4	3.4462562298895603	-0.8	3.0874628412503395	3.76553474636298	0.137503523749935	-0.6	-0.3	1.13750352374994	2.58496250072116
C4orf33	2.90689059560852	3.48542682717024	4.7279204545632005	3.6553518286125497	4.0703893278914	4.03562390973072	4.300123724569009	3.30742852519225	2.98185265328974	-0.2	4.08746284125034	2.4329594072761096	3.60880924267552	3.2172307162206697	3.36457243229586	4.49825086752783	4.66106547980695	4.22496636500027	4.0	3.9726926540042595	2.6553518286125497	1.76553474636298	4.51096191927738	1.13750352374994	1.26303440583379	0.0	4.53605290024021	4.05311133645956	0.263034405833794	1.9634741239748899	5.104336659814741	3.41953889151378	2.37851162325373	3.64385618977473	4.0089887832272595	4.60880924267552	-0.2	3.39231742277876	3.54843662469604	3.43295940727611	2.96347412397489	3.2172307162206697	2.56071495447448
ABHD11	4.7279204545632005	4.83794324189103	4.98641093525204	4.4396231375571205	4.16992500144231	6.01122725542325	4.12101540096137	5.318316841334981	4.64961545906341	4.24031432933371	1.20163386116965	4.34340782229781	3.6667565918847997	6.11478344724985	5.49185309632967	4.32192809488736	2.78659636189081	5.12515513132229	4.19377174339668	5.2364926183813	4.452858964713809	4.786596361890809	4.37155886261196	4.41953889151378	4.13750352374994	4.05311133645956	3.0	4.36457243229586	5.1333991254172	5.15785216914174	4.76022094646651	4.51096191927738	2.4329594072761096	4.57288966842058	5.38887833881199	5.0746766862945005	4.69488019279919	5.2667865406949	5.42961596420174	6.187846909439571	4.74416109557041	5.29278174922785	2.60880924267552
