Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TSPAN6	7.124781	6.6762934000000005	7.1575966	7.25022	6.5297265	6.25863	6.016196	6.5272974999999995	7.554231	7.3572755	6.630662400000001	6.3503733	6.7737803	6.6673827	6.757318	8.291445	6.897821	6.902763	7.8252372999999995	6.603998	6.449145	7.451189500000001	7.278449	6.9173279999999995	6.882562599999999	8.40968	7.306466	8.158999999999999	7.0853	6.8113194	6.780588000000001	7.190384	8.156842999999999	6.720610000000001	7.784739	6.911842	7.906275	7.859528	7.7790289999999995	7.145612700000001	6.7054405	6.71858	6.055611	7.5867805	7.243996000000001	7.345935300000001	8.063446
BAD	4.1289277	3.706687	3.9309722999999996	3.8481129999999997	2.5281662999999996	3.0680065	3.4411940000000003	3.151341	3.75429	3.497325	3.8644922	3.9353428	2.9396443	3.0755502999999997	3.43739	3.9202926	3.0980105	2.9187083	4.443782	4.2827150000000005	4.3011875	3.1584978	3.3627925000000003	3.91355	3.5226437999999995	3.6889787000000003	3.8243207999999997	4.002279799999999	2.8173265	3.1468258	3.935969	4.373488	3.9838755	2.3270707	3.8214089999999996	3.3602896	3.6237545	3.9365737000000003	4.3463655	3.8418089999999996	3.8950297999999997	4.9263897000000005	3.3061662000000003	4.0410786	3.2707207	3.5655	3.7221637000000003
ICA1	6.0892115	5.9373937	5.820426	6.107751400000001	5.376125	5.5019746	5.5859632	5.7228613	6.53334	6.3125606	5.417524299999999	5.434506	4.9936300000000005	5.3038335	5.4025693	6.349374	5.876493	6.2669024	5.9838586	6.1205907	5.4498096	5.9180875	5.7629075	6.358251	6.112751	6.3301253	6.177348599999999	5.546252	5.6999025	6.2902207	6.223574	5.6585735999999995	5.6197667000000004	6.041323	6.09551	6.262875599999999	6.8620777	6.337085	6.315205000000001	6.170282	6.0461245	6.4793706	6.3731947	6.1659174000000005	6.647017999999999	5.3485065	5.6199727
POLDIP2	7.417056	7.061998399999999	7.149996300000001	6.981814	6.8510137	6.6823125	6.987864999999999	6.9116740000000005	6.971328999999999	7.083889	6.8023453	6.921717	6.746024	7.066803500000001	6.5151577000000005	7.2027917	6.9548993	7.172562599999999	7.1052527	7.068268300000001	7.294202	7.248794999999999	7.181451299999999	7.3394394	7.349719	6.916728999999999	6.9090943	7.234576	6.7797054999999995	7.034279300000001	7.159403299999999	6.837155999999999	6.7486534	6.597747999999999	7.1933293	6.8243113	6.659494400000001	6.9070597000000005	7.135414999999999	6.691827	7.141671700000001	7.0679110000000005	6.9052453	7.168133	7.128883	7.097417999999999	7.166993
AK2	7.694853299999999	7.487317	7.1575966	7.55197	7.5889387	7.8309755	7.955964	7.939162700000001	7.550675	7.547876400000001	6.9189024	7.8400240000000005	7.687696000000001	7.7670183	7.4994307000000004	7.430655499999999	7.5961657	7.4859032999999995	7.9002953	7.309258	7.302997	7.923829	7.3798656000000005	7.505026299999999	7.4868402000000005	7.5768943	7.687245	7.588034599999999	7.697070599999999	7.390117	7.6291704	7.7527742	7.710371	7.5333095000000005	7.6723447	7.529458	7.601233000000001	7.535642	7.8803353000000005	7.7222576	8.303181	7.723125	7.856158	8.007565	7.5819426	7.632005	7.760826600000001
NDUFAB1	7.4850516	7.1985197	7.103537599999999	7.4995145999999995	6.947063000000001	7.107767599999999	7.297117	7.4280505	7.160538000000001	6.675421000000001	6.5685735	7.130189	7.219555000000001	7.1307826	7.3767595	7.0438323	6.930713000000001	7.070614	7.292043700000001	7.0396304	7.2853537	7.353538499999999	6.922806	6.924028999999999	7.096770299999999	7.0336289999999995	7.533863	7.49183	7.329613	6.7657485	6.918211500000001	7.553306599999999	7.562672	7.236575	7.3135033	7.0127554000000005	7.3347836	7.193555	7.3022795	7.6593328	7.440844500000001	7.849981	7.482419500000001	7.767367999999999	6.7878084	7.349935	7.419129400000001
SLC25A13	6.005253	5.6562475999999995	4.882886	5.068055	4.848776	5.0854897	5.515936	5.415382	5.445380999999999	5.6156764	5.10401	4.8874044	4.955359	4.876246	5.020871	5.4805737	4.686477	5.21293	5.7944665	5.270037	4.5869613	5.666087999999999	5.022193	5.576232	5.389617400000001	5.385092	5.0389028	5.853867	5.0048084	5.166723999999999	5.242751999999999	5.2383165	5.415737	5.075397	5.719749	5.548500499999999	6.215617	5.3007073	5.4966364	5.2391934000000004	5.3475757	5.233487599999999	4.8618526	5.8871946	5.7254057000000005	5.2319818	4.9487514
HCCS	5.763838	5.585564	5.5355215	5.446142	5.557482	4.762112999999999	5.515936	5.753307	5.832725	5.3382654	5.788225	5.655229	5.731366	5.7823324000000005	5.4357233	5.9366064000000005	5.5980287	5.881703	6.5073419999999995	5.5391544999999995	5.541846	5.602112	5.327980999999999	5.04781	5.809584	5.978082700000001	5.8361025	5.948472	5.770112	5.749985	5.849784400000001	5.669579	5.724585	5.7951445999999995	5.306102	5.6923556	6.4028273	6.1959844	6.2288737	5.9774036	5.7451725	5.375236	5.9283605	6.098981	4.991870400000001	5.8556365999999995	5.6726704
SLC25A5	10.148926	9.495802000000001	8.869074000000001	9.153786	9.744361	9.845054	10.106549000000001	10.122843	9.387333	8.963881	8.675997	10.348161	10.219663	10.249719	9.950174	9.545632000000001	9.186399	9.598572	10.262789999999999	9.022263	9.405316000000001	9.196883	9.147514	9.278866	9.363896	9.742721000000001	9.4657545	9.689005	9.030401	9.118408	9.422083	9.542305	9.817581	9.5954	9.720187	9.775029	10.160912	9.931422	9.888592	9.664904	9.805553	9.554093	9.831613	9.9088125	9.148193	8.950221	9.3695545
ACSM3	5.1775513	4.7826242	4.807597599999999	3.940955	3.5022656999999997	4.173522	3.2241356	2.955761	4.8919477	5.3228903	4.145360500000001	3.5908462999999995	3.6640718	3.0755502999999997	3.5627358	5.266851	4.867255	5.354625700000001	5.082114700000001	4.508479599999999	4.497848	5.615135700000001	5.0921755	5.119628400000001	5.315527400000001	4.9421782	5.588535299999999	5.853867	5.0804443	4.33672	4.259789	5.1149144	5.699085	2.6242914	5.776618	3.0158572	4.3907213	5.6643333	5.7543354	4.9336066	3.585689	4.7883654	3.2362442000000002	5.3387494	2.9558362999999996	5.974387	6.023155
SPPL2B	4.716628599999999	4.960744999999999	5.119185400000001	5.026289	4.724179	4.9328427	4.6156898	5.0241084	5.333933999999999	4.7171564	4.4508905	5.709994999999999	5.154298000000001	4.909050499999999	4.5617175	5.538969	4.965760700000001	4.8794107	5.1539839999999995	5.0579486	5.0085807	5.281067	4.7464695	4.8648696	4.589997299999999	5.538043	5.0389028	5.128056	4.750733	4.566701999999999	4.3790307	5.7954893	5.2847295	4.317689	5.1936602999999995	4.8484178	4.957364	4.7339306	5.2638574	4.500151	4.9830165	6.1252403	4.8848853	5.66225	4.737876	4.3196616	4.4818907
CROT	5.8895893	3.9511864	3.8950519999999997	3.6423216	5.940154	5.988641	5.695613	6.339396	5.697750599999999	5.3228903	4.306198	6.044271	6.1424403	5.980543	5.063918	4.531828	4.434605	4.2092843	5.082114700000001	4.3773007	4.528168	2.5473256	4.7464695	4.6871805	4.681326	5.294282	4.350635	5.3522544000000005	4.44214	4.810606	5.2635654999999995	3.7829309999999996	4.2874513	4.5475235000000005	4.7917037	5.6459794	5.085399	5.21553	5.87294	3.4716952000000005	5.7191980000000004	3.8945076000000003	5.2818913	5.367472599999999	5.66519	3.9069519999999995	4.5585666
PDK2	5.560346	4.5047182999999995	4.577669599999999	4.0281816	5.7401767	6.051783	6.0983596	6.146428599999999	4.1423497000000005	4.619856400000001	4.3803577	6.3036575	6.054657	6.1683959999999995	5.590945	6.4440956	4.1292599999999995	4.165994	5.923449	4.628719	4.670888400000001	4.952053	4.4325304	4.8924675	4.2355404000000005	5.4566307	4.490616999999999	5.624753	4.44214	4.0248156	5.0879917	5.2084413	5.699085	4.437178	5.306102	5.051829	4.446294	4.924902400000001	5.798600700000001	4.3804045	6.731661	5.8198524	6.3813167	6.206228	4.9671449999999995	4.2182937	4.890617
ITGA3	6.053826	6.332212999999999	6.1217809999999995	6.097704	5.7824516	6.076286	5.9645543	5.783123000000001	5.934476	5.9912777	5.788225	6.593081	6.4274526	6.3345814	5.4025693	6.338455000000001	6.4072437	6.1044225999999995	6.285305999999999	5.946415	6.007676999999999	5.9180875	5.8361160000000005	5.9751105	5.875529	6.542301	5.7643504	5.8209014	5.7236876	6.172926	6.202172	6.714987	5.699085	5.34357	6.1567764	5.8231583	6.717111	6.254091000000001	6.579028599999999	5.6024547	6.3383080000000005	6.8562202	6.5989146	6.2376847	6.4691405	5.556632	5.058432
GDE1	7.7730937	7.035725599999999	7.270544999999999	7.396729	6.8209057	7.089828	6.979217	6.9116740000000005	6.808146499999999	6.970057000000001	6.630662400000001	6.8904442999999995	7.1702832999999995	7.015003699999999	7.0093455	7.529976400000001	7.149087400000001	7.150521799999999	7.392027400000001	7.27895	6.599496	7.257128	6.922806	7.468818700000001	7.372736	7.3589649999999995	6.7785964000000005	7.157453	6.8133473	6.788714	7.192340400000001	7.498811	7.7789116	7.011197999999999	7.2546672999999995	7.227440400000001	6.4714003	7.5000663	7.512886	6.6353993000000004	6.658375299999999	7.1770396	6.9659095	7.479033	7.009848599999999	6.915077	7.1852446
OSBPL7	5.916106	4.9037805	5.4138737	5.3135233	5.2612414	5.5019746	5.608569999999999	5.691758999999999	5.382755	5.8801155	5.0595593	6.2797194	5.5247374	5.4447410000000005	4.436279	5.767815000000001	5.2526417	5.535586400000001	5.550003	5.1941104000000005	5.761935	4.5524683	4.585945	5.414319	4.794745400000001	6.117041	5.388282	5.419860400000001	5.043122	5.576092	5.492386	6.649790299999999	5.99987	4.187402	6.2480855	5.4619136	6.1291175	5.457314	5.7202215	5.5917106	5.1282597	6.367479299999999	5.521198	5.795048	5.1757574	4.8580445999999995	5.0845970000000005
TMEM98	7.2236270000000005	6.436304	6.453519	6.515035	7.736016	7.482489	7.869691	7.6384115	6.843456	6.522296	6.599951700000001	8.219286	7.335839999999999	7.3792800000000005	6.619836299999999	7.631869	5.942490599999999	7.0107	7.251664999999999	6.804548	6.7094245	6.8847556	5.9250917	7.0519114	7.0800853	7.866778	6.645133	7.668991	5.6999025	6.391209	6.918211500000001	7.127917999999999	8.00384	6.789599000000001	7.150939	7.5251946	6.5240045	6.870378	7.1862826	6.421504	8.0866375	6.4522010000000005	7.896383999999999	7.404764999999999	7.106415299999999	6.724908999999999	6.549961
BAIAP2L1	6.1237497	6.353640599999999	6.6441054	6.862274	5.376125	5.2014127	5.416944	5.296371	7.002903999999999	5.921536	6.3274455000000005	5.813658	5.931919000000001	5.6332393	6.0635585999999995	6.3709674000000005	6.3955097	6.2669024	5.902737	6.5027266	5.6832833	6.857612599999999	6.908328999999999	6.676657700000001	7.124157	6.425921400000001	6.5839243000000005	6.5307319999999995	6.5462217	6.788714	6.3161407	6.604628999999999	6.213045	6.161877	6.791266	5.930238200000001	7.556161400000001	6.402776	6.252935400000001	6.1337147000000005	5.6244197	6.4151597	5.751680400000001	5.773747	6.378288700000001	6.5271635	6.5870414
FARP2	6.5192633	5.87948	5.9131365	6.1374807	5.8031334999999995	6.1816735000000005	5.981974	6.075911	6.1659455	5.931708	5.8152137	6.2306175	6.2411814	6.358531	5.2617650000000005	6.247993	6.2853785	6.0929112000000005	6.561203	6.0215592000000004	5.9074373	6.16833	6.1219535	6.358251	6.207974	6.267848000000001	6.0919932999999995	6.414006	5.2538147	6.282152	5.968627	6.8517246	6.0612010000000005	5.586954	6.2319083	6.332858	6.3993115	5.900958	6.093293	6.254439	6.127373	6.0547379999999995	6.003947	6.1982555	6.460309	6.0549974	5.77262
USH1C	7.747482000000001	7.1985197	6.788151700000001	6.926123599999999	7.8985970000000005	7.997392	7.995097	7.984782000000001	7.002903999999999	6.687478	6.7046947	8.537092999999999	8.278097	8.229927	7.3422065000000005	7.394212	6.922560000000001	7.3809595	7.7402334	6.950139500000001	7.001834	7.108476	6.5588307	6.9765496	7.340408	7.943486999999999	7.1463304	7.7279716	6.768314999999999	7.419842699999999	7.4591537	7.914169	7.555585000000001	7.321859	7.5666649999999995	7.800395	7.299383	7.451224000000001	7.5195136	7.434267999999999	8.272253	7.897755999999999	8.396600999999999	7.804603599999999	7.506730999999999	6.8028417	6.984493
COX10	5.4191704000000005	4.9037805	5.267030999999999	4.667282599999999	5.60537	4.6685205000000005	5.038316200000001	4.973282299999999	4.91426	4.515516799999999	4.306198	5.321806	5.537747	4.582903400000001	4.783964	5.5003023	4.867255	4.615458	5.188619	4.6666703	5.0299273	4.9103959999999995	4.7680106	5.642745	4.848278	5.4705224	5.210708	5.463233	4.8833566	5.1131462999999995	4.860992400000001	4.8310695	5.4770335999999995	4.806171	4.6033397	4.875468700000001	4.110175	4.8133774	4.3463655	5.5808854000000006	5.665803400000001	4.8170470000000005	5.3985199999999995	5.423259	4.7951903	5.0668473	5.323051
ARHGAP44	4.9654193	3.5669089999999994	4.6867423	3.4660879999999996	4.008977	3.8714440000000003	3.7156324	4.067778	5.283403	4.669327	3.6413815	1.8479066000000002	3.8424199999999997	3.9873397000000006	2.978791	5.7348857	3.4998236000000005	3.978543	5.255491	3.6858873	4.335882700000001	5.089052	4.260839	4.5893927	4.2355404000000005	5.7000985	5.0689955	5.993546	3.8899856	3.4064083	4.129797	6.26334	5.535832	2.7527041000000003	5.1252403	3.6381339999999995	3.599448	4.8133774	5.7202215	4.5453987	2.1209043999999997	6.078624	4.8618526	5.463727	3.7187302000000004	4.383488	4.176014
SCIN	7.4446397	5.350008	4.971787	5.242343	7.996125999999999	7.984503699999999	7.973488000000001	7.836259399999999	6.2117023	5.6030025000000006	5.1471324	8.9530525	8.395304	8.258847	7.020314999999999	7.4099436	6.0056005	6.2669024	7.176006299999999	6.263656	6.823841000000001	3.7370367	3.4183377999999998	6.307899	6.390465	7.221967	5.48073	6.774042	4.8833566	6.25767	6.3457217	7.389898	7.4901886	6.3962107	6.8240113	7.671277000000001	7.263091999999999	6.4899917	6.712269999999999	6.427558400000001	8.518032	6.9881850000000005	9.036507	7.02222	7.0778289999999995	2.057081	4.7006803
ARSD	5.876146299999999	5.0683403	6.09828	5.820667	5.2310324	5.245293599999999	5.6743393	5.1666527	6.771950200000001	5.921536	6.0377645	6.8422265	5.576085	5.5731025	5.224307	5.7514443	4.434605	6.1825285	6.422582599999999	6.263656	5.952851	5.7153025	5.412475	6.3282514	6.536223400000001	6.4115910000000005	6.0321489999999995	6.6575103	5.7470865	5.6151599999999995	5.6743736	6.4913416	6.8678745999999995	4.892341	5.3959627	6.2422404	6.35281	6.0559998	5.8625517	5.7833122999999995	6.5593710000000005	6.8970923	5.836829	6.149472	5.578062999999999	6.212659400000001	6.1524696
PNPLA4	4.557294000000001	3.412122	3.858215	4.0698934	4.008977	4.079685	3.9461162000000005	3.151341	4.536817	4.740489	4.057676	4.646619	4.3934617	4.6230025	3.8842566	4.5696697	3.0980105	4.615458	4.8421507	4.1280837	4.7756977	4.2187805	4.065919399999999	4.6227307	5.154853	4.704261	4.490616999999999	4.8624906999999995	3.8033487999999998	4.0629935	5.2002025000000005	2.7660153	4.4182224	3.5735693	3.8214089999999996	4.734837000000001	4.347591	4.6925035	4.5671453	5.5589886	5.832567	4.3519483	4.6630144	4.271307	4.1939735	4.4742265	4.441968
CEACAM7	12.142368	10.593789	9.635516	10.144	1.3726513	1.7104627000000001	0.0	0.0	11.809078	11.055686999999999	10.783358999999999	3.1373925	2.6828383999999996	2.5180938	0.9879188	12.477221499999999	11.912538	11.420226	12.389510000000001	11.322413000000001	11.144058	11.412533999999999	11.379833	10.900583000000001	11.229541000000001	12.89892	11.547405	12.130286	11.024146	10.732318	11.019475	11.923425	11.958826	5.7185845	11.867503999999998	7.57555	11.178086	11.598351	12.066130000000001	11.33778	1.5430475000000001	11.428038	0.0	11.66662	11.114269	10.054867	11.045044
DNAJC11	5.821085	5.849628	4.807597599999999	5.4141129999999995	5.4825306	5.3292437	4.970120400000001	5.1666527	4.9791975	5.869571700000001	4.5823846	5.173805000000001	4.63051	4.876246	5.020871	5.9933977	5.5980287	5.881703	5.7944665	5.694189499999999	5.952851	5.9798074	5.4661745999999996	6.0258365	5.938589599999999	6.016466	5.6091623	5.7350330000000005	5.348644	5.508532499999999	5.5779624000000005	5.177934	5.957484	5.281054	5.5343113	5.4257693	6.077255999999999	5.6427445	5.4966364	5.918432	5.7706876	5.2754283	5.2644324000000005	5.935953	5.502643	5.5286756	5.689817
CYB561	6.243754	6.0466795	6.717925	6.595781	6.242309	6.391493	6.360546599999999	6.191596	6.1659455	5.815666	6.082882	6.2180767	6.4755697	6.4280824999999995	5.8341384000000005	6.113551	6.643832000000001	6.8144054	6.803926	6.3123527	6.1894089999999995	6.519525	6.792236	6.910594500000001	6.8761339999999995	6.108182	6.163469	6.1740639999999996	6.2012925	6.613290299999999	6.924759	6.2777970000000005	6.1200314	6.2406445	6.6523046	6.4811144	6.982095200000001	6.4532566	6.507489700000001	6.469245	6.795201	6.3380957	6.570782	6.090391	6.843210000000001	6.3225746	6.75122
MPND	2.8172998	1.7703145	2.129477	2.7534666000000003	2.314305	2.1404471000000003	1.7118494999999998	2.7294455	2.2332892	2.00074	2.3712876	2.6321632999999998	2.2488763	1.5975988	1.9818401	2.837504	1.6146935	2.0978951	1.8461245	1.5744673	1.2866323999999998	2.6521416	1.1449516000000002	1.426709	2.3776996	2.7056837000000002	2.5485568	2.7822970000000002	2.8173265	2.0198863	2.2784176	2.8458080000000003	2.493629	1.72068	3.2442048	1.6695037	2.4127464	1.7047662000000001	3.2341056	2.5962078999999996	2.4078186	3.6613293	2.9167662	2.9850025000000002	1.6612115	0.92847794	0.68693674
MGST1	8.869835	8.740783	7.9376240000000005	8.279205000000001	6.880505599999999	6.950976	7.304060000000001	7.214888	8.10546	7.683475	7.544919999999999	7.381417999999999	7.1661	7.276178	7.696950999999999	7.3729663	8.046076	8.4025	8.943636	7.936547999999999	7.8387839999999995	7.40694	7.6617355	7.5403476	7.945612400000001	7.0522227	8.189969	7.673615	8.160607	8.272261	8.514863	8.402181	7.8957553	7.713754	8.293455999999999	7.8692985	7.5210056	8.431443	8.282197	7.958036999999999	7.8226323	7.786134700000001	7.4088435	8.553641	7.828359	7.5578685	8.063446
UQCRC1	10.3837595	9.730931	9.376919000000001	9.608552	9.353738	9.499258	9.699864999999999	9.695063000000001	9.460229	9.291661999999999	8.916179	9.853652	9.494222	9.6342125	9.445412	9.888386	9.47127	9.891344	10.345695	9.358566999999999	9.720473	9.737022	9.439451	9.654223	9.69135	9.899199000000001	10.001614	10.089258000000001	9.614444	9.348342	9.654553	9.875031	10.232959	9.576001	10.089128	9.550065	9.738837	9.945818	10.044916	9.745878	9.498035	10.158517	9.470658	10.301935	9.170025	9.72837	9.8954
