Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PRKCZ	7.452482696000001	8.366777227	8.649081921	8.365192532	8.214739174	8.179308216	8.153351322999999	8.154948178	8.370982932999999	8.184632641	8.324895937	7.748162542	7.61427422	8.309155045	8.653741543999999	8.555905799	8.145785717	8.120870185	8.133335717000001	8.334364816	8.474020286	8.574355499	8.378920434
RER1	9.367677893	9.486215128	9.823222321	9.729681831	9.729758991	9.761810505	9.690762548	9.728553627	9.610565869	9.670598121	9.542600569	9.379267435	9.207990195	9.833328775	9.853378951	9.825039318	9.97417325	9.588874727	9.551070792	9.640606049	9.902360945	9.952662697000001	9.615247734
TPRG1L	8.607432815	8.829088018	8.545023017	9.081647917	8.932933524	9.014427136	8.98649621	8.930063053	8.706850198	8.820864441	8.774700409	8.705961054	8.416265877999999	8.870574776	9.200366136	9.250408736	9.350585569	8.857171952	9.073318672000001	8.945480898	9.166540084	9.118901479	8.963080397999999
ESPN	7.995800872	8.227497112	8.465802652	8.379523796	8.156739673999999	8.089404089	8.150517551	8.458623637	8.628030737000001	8.136944502999999	8.356512283999999	7.897553662999999	8.311520365	8.096743621	8.261515917	7.923479556	8.113546969	7.842899289	8.21532577	8.355202672	8.140343475	8.034591947000001	8.097976967000001
NMNAT1	5.820094313999999	6.341789716	6.658331355	6.5312093860000004	6.674460289	6.626919372000001	6.590954984	6.3239952210000006	6.639137643	6.514992337000001	6.166133041	6.1018416989999995	5.924662929	6.536602832000001	6.824741158999999	6.782786301	6.901911946	6.472992587	6.441756161	6.539755782	7.079168825	6.569860011	6.454683974
SLC25A34	6.397096839	6.769254121	6.748258172999999	6.554722216	6.413306014	6.384424107999999	6.25828308	6.93941529	7.0814411779999995	6.563557177000001	6.7915666329999995	6.158988822	6.628665022000001	6.349385177	6.5992780479999995	6.61134399	6.473840117000001	6.248887545	6.046202452	6.852628467000001	6.774340583	6.351829437	6.510352018
TMEM82	6.748758339	7.0172286129999994	7.313460597000001	7.0445577120000005	6.748540727999999	6.956048716000001	6.988445722000001	7.387751123999999	7.569186002	7.0688328810000005	7.1813808329999995	6.718697585	7.08262092	6.867445224	7.1986774879999995	7.380212005	7.190590315	6.6547705079999995	7.199128337	7.336550008	6.923162792	7.409840206	6.696393992999999
ARHGEF10L	7.044066711	7.963187669	8.342612396	8.066189399	8.17429179	7.552563451	7.865628413	7.797736617999999	8.214469133	7.921201442999999	7.995390302000001	7.505033867000001	7.463059826	7.81222716	8.343433252	8.080777687000001	7.709495414	7.644688841000001	7.745560879	8.136586753	8.224334861	7.907136027999999	8.226928671
PINK1	7.762143758	8.000997155	8.336821018	8.125379888	8.162096398	7.864497611	8.407344146	7.9872785870000005	7.988357303	8.154073156	7.835990719	7.800768996	7.9712189239999995	8.2018547	8.101436343	8.218429466	8.147249651000001	8.092347772	8.09417033	8.288036949	8.154832321	8.478932762000001	8.201873989
SDHD	10.18608189	10.16400431	10.336945199999999	10.02812898	10.45041575	10.62816805	10.40636644	10.00225276	9.905872925	10.30820097	10.34287522	10.13743679	9.726794925	10.07579951	10.39575141	10.44157128	10.60663869	10.11377507	10.38661535	10.46652884	10.93255161	10.36332055	10.50652514
LDLRAP1	7.390442019	7.572795042999999	8.094665512999999	7.6720204039999995	7.874234327000001	7.558254754	7.535186488	7.57539602	7.561388176	7.612636027000001	7.731558832	7.2365104570000005	7.432763487000001	7.522631335	7.471722838	7.632425277	7.54185629	7.5425582989999995	7.366826575	7.64597511	7.781697886	7.507600978999999	7.78022686
CNKSR1	7.817975122999999	8.128059947999999	8.592115042	8.241999292000001	7.810531332999999	8.29178014	7.988892329	8.328667121	8.372746719	8.182314632	8.239074765	7.6992486829999995	7.893726836	8.426876403	8.479404563	8.678934053999999	8.423579392	8.026391058	8.229396803	8.087781357999999	8.209351474	8.565750344	8.388468924
DHDDS	9.174405637000001	9.554246309	9.716020937	9.396889299	9.476781178	9.571050577000001	9.662649472	9.576196106	9.200068239	9.084098421	9.427139921	9.206893183	9.095782675	9.07979091	9.51222132	9.508728592999999	9.870402444	9.294095828	9.689668847	9.221942248	9.898354314	9.680465765	9.71852671
RPS6KA1	9.154005456	9.567454689	9.853385328	9.658433237999999	9.498893629	9.994095463999999	9.708220783	9.778610276	9.63239743	9.536082481000001	9.572772149	9.347252206	9.012937513999999	9.551798718999999	9.657938463999999	9.827045118	9.803601214	9.555352809	9.849617181000001	9.533917241000001	9.876571371	9.871905426	9.459389342
PIGV	7.458089405	7.6162355129999995	7.928649752	7.730205688	8.033518111	7.668852964	7.562799882	7.586843109	7.799718965	7.88215288	7.835456872999999	7.561351814	7.604716888	7.847961037999999	7.785827489	8.076667200000001	7.8805743239999995	7.520331529	7.61351499	7.857531635	7.909791844	7.780097772	7.811452113
SFN	10.38584213	10.23892452	10.63814565	10.25504774	10.54350837	11.07005918	10.64873225	10.60701565	10.33868742	10.63522978	10.66902139	10.30924957	9.479125869	10.72734746	10.60020535	10.64525735	10.67861851	10.59867477	11.10487273	10.197825	10.37386785	10.7959364	10.62294763
SMPDL3B	8.405153671	7.931984006	8.570973128	8.06925832	8.575137461	8.646237985	8.301917988	8.478212673	7.9997403689999995	8.367249163	8.159256205	8.154931186	8.562769261	8.486748497999999	8.0299856	8.557156557	8.514045812	8.147014359	8.153946564	8.295546993	8.877545794	8.229036024	8.279958226
ATPIF1	8.031673274	8.311706331	8.537420688	8.617459618	8.539008021	8.440404238	8.366178384	8.140463933	8.498613927000001	8.558599265	8.634720777	8.274915556	7.880661288	8.294218416	8.675266744	8.433897007	8.41192069	8.258144026	8.308804925	8.533619774	8.509500062999999	8.395390704	8.508245248
SERINC2	9.532325245	10.911104199999999	10.90633345	11.35620491	11.00021118	10.55930998	10.90326367	11.08931453	10.66597038	10.90544219	10.64145954	10.22376797	10.24232995	11.26897068	10.83022118	11.14118429	10.78739217	10.17413693	10.76976593	11.26418256	10.49082212	11.43760287	11.19880111
HDAC1	10.01829867	10.63641918	10.86345365	10.41357151	10.81150768	10.59787149	10.71082682	10.14559838	10.22642307	10.44892276	10.49039382	10.35969555	9.68607857	10.53011541	10.40036417	10.26858612	10.35466814	10.53125675	10.49878835	10.27662112	10.95710443	10.82387536	10.72360054
KIAA1522	7.452226156	8.432055795	8.968954745	8.631749467	8.434682687999999	8.454275317999999	8.582272019	8.608464424	8.925310853	8.580759894	8.509063382	7.835217155	7.709221622	8.604551646	8.797656182999999	8.659775357000001	8.616043532	8.243487228	8.358893014	8.624364429	8.614963766	8.705949667	8.77801565
GUCA2B	8.065717207999999	8.324492621000001	8.624493728	8.885821469	7.72147473	7.885741703	8.698366499999999	8.844511446	9.006490108	7.99154373	8.696493754	8.044403792	8.446943946000001	8.64227848	8.400319995	8.629560066	8.046609972	7.803535688999999	8.600362238999999	9.107897566	9.604216013	9.584390488	9.300841842999999
RIMKLA	7.038325918	7.4825750929999995	8.030618478	7.759257542	7.869110801000001	7.0392184460000005	7.820859865	7.3874243029999995	7.9760600020000005	7.523764732	7.567144557000001	7.285066329	7.233078665	7.617233044	7.680753759	8.056028559	7.992075155	7.728063537000001	7.4066849779999995	8.030406315	7.957126846	7.964913332999999	7.865005146000001
PPCS	7.9983327829999995	8.215126363	8.615811011	8.434642225	8.614380386	8.26368613	8.691173337	8.338605552	8.457205384	8.535621978	8.380014181	8.301483915	8.014540532	8.655762388	8.515358042999999	8.498621352999999	8.646316222000001	8.443080127	8.362385587999999	8.583211343	8.779929109	8.701100615	8.490969095
PTPRF	8.143919386	9.259959579	9.588766095	9.375479109	9.22214617	8.919780702	9.20916091	9.16125231	9.395032127	9.39104137	9.229122742000001	8.461899678	8.12372864	9.151032492999999	9.456862601000001	9.550475432999999	9.287580643	8.805806051	9.194861134	9.426465041	9.482891641	9.506147262999999	9.476482694
CCDC24	6.59686753	6.96652147	7.228759692000001	7.124165023	6.977083532999999	6.857666316	6.951397937	7.168994925	7.395205542	7.16247262	7.226712637	6.836398295	6.73380367	7.093444967999999	7.230541194	7.154168827	6.955301102999999	6.767761052999999	6.911923237999999	7.275181481000001	7.134710826	7.146371655	7.026879334
MMACHC	6.904186789	6.699214788	6.971156287	6.855981765	7.165584362000001	7.2591819289999995	6.7496177170000005	7.01689889	6.718810341	6.834790347	6.791225797999999	6.968084827	6.906698971	6.825583437000001	7.220895052	6.862245927000001	6.994112127999999	6.81156363	6.860846013	7.188264356	7.353852037	6.848720256	7.000400492000001
MAST2	8.00518712	8.862035222000001	9.237394959	8.878625075	8.614149057999999	8.391649386000001	8.752157965	8.777531044	9.221901254	8.815010797000001	8.878319077	8.281146867	8.532042317	8.947991255	8.933301918	8.925162778999999	8.80201901	8.570230142	8.706137851	9.004168335	8.875012481	9.060549331	8.902547074
TSPAN1	11.83181094	12.50665262	12.775789999999999	12.58293925	12.45427582	12.22579773	12.68118049	12.21597995	12.61105576	12.61312454	12.44368456	11.99339634	11.47449048	12.78153881	12.58529198	12.65362096	12.5218205	12.34751081	12.52339313	12.58431719	12.55288846	12.90189759	12.72334702
